"Gene"	"X3UTR"	"X5UTR"	"CDS"	"promCore"
"A2M"	NA	0.333967643869472	0.905170802348088	0.449920108265237
"AAAS"	NA	0.425060117388799	0.704772281297661	0.725764139782153
"ABAT"	0.966412563495762	0.0420273501361295	0.760098520311456	0.190378916541382
"ABCC1"	0.93834315711616	0.459944349879511	0.25993191452939	0.298045466696671
"ABCC5"	0.802102818671526	0.447890166966291	0.478884620110414	0.844799485057493
"ABCC8"	NA	0.469935565344391	0.689025000901932	0.922661677606428
"ABHD6"	0.401941802864629	0.448888100086543	0.758717586040089	0.306251390406439
"ABI1"	0.289484730473222	0.197759959598521	0.481503151031519	0.348605589460695
"ABL1"	0.815469245711119	0.237448468647147	0.668522184318837	0.601577911673681
"AC142381.1"	NA	NA	0.999965834552774	1
"ACAA1"	0.78546706298313	0.354012226682796	0.413980293867657	0.285839471056753
"ACADS"	NA	0.092981545123156	0.635249268278473	0.356730625042436
"ACAT1"	0.994363259365838	0.384640174205679	0.0603119303087521	0.772750123811461
"ACD"	NA	0.482848219490023	0.948700010043634	0.681549392901811
"ACOT6"	NA	0.00990934275579505	0.514948945874133	0.170469237197661
"ACOT8"	0.552017152225988	0.283162250556324	0.553211262692553	0.0995779026082611
"ACOX2"	NA	0.397277581049482	0.654961464700074	0.68877837330447
"ACOX3"	0.995739494322406	0.227924083764431	0.658390730785153	0.786370306254115
"ACSM5"	0.127961354741049	0.348969058725179	0.532307572221071	0.485209796719601
"ACTB"	0.0169246268319747	0.181029377520027	0.00415269368912382	0.033242774967304
"ACTL6A"	0.12009697618159	0.411981284128552	0.694710489114819	0.31164178205938
"ACTN1"	0.422429909770996	0.153756306734865	0.473000415748287	0.367400639529653
"ACTN2"	0.861001526689452	0.498762709559964	0.333632392214864	0.986749004333184
"ACTR1B"	0.788980484217517	0.454037272876085	0.105702852217826	0.852889137736854
"ACVR2A"	0.307201220579795	0.235490917534064	5.46999969690745e-14	0.341409200989745
"ACVR2B"	0.68771206118391	0.237101084783184	0.494624636536352	1
"ACY1"	NA	0.412259066371044	0.827563132313438	0.988171102484037
"ACY3"	NA	0.225599003106207	0.750148334434102	0.473617035761025
"ADAM10"	0.355224864999324	0.0107048509780004	0.236801489373336	0.118574557904225
"ADAM17"	0.463258338913788	0.331434086446274	0.0615764930122742	0.613189528039298
"ADAM22"	0.868903381683315	0.192070572651866	0.427978427253324	0.0850934751701339
"ADARB1"	0.485729383972884	0.347482739589378	0.560730424466977	0.602500833524822
"ADAT2"	0.986813428085862	0.47782478462427	0.0657075217348056	0.822581053433152
"ADAT3"	NA	0.346320142024246	0.865949705928482	0.813385536406629
"ADCY1"	0.992952063505143	0.367036614698633	0.627204879413715	0.549031508863019
"ADCY4"	NA	0.187153357003497	0.378575226465676	0.519122192080699
"ADCY8"	0.0808563326290624	0.44542873658668	0.686887509749379	0.758342998941304
"ADCYAP1"	0.0771140061360774	0.0204497601603681	0.809753298909482	0.155004749195538
"ADH1A"	NA	0.460544912176367	0.901086873077504	0.990529008363295
"ADIRF"	0.206836338623856	0.253534416915286	0.458701955265042	0.558312046145328
"ADRA1B"	NA	0.49615835090001	0.896519904149754	1
"ADRB1"	0.556983914444041	0.449465315710055	0.946505885098988	1
"AF196779.12"	NA	0.426895240638875	0.683255234506209	0.870781360683208
"AGA"	0.750155107578367	0.487656492111549	0.970494782612279	0.813205323187146
"AGAP2"	0.167157049624762	0.172728119372391	0.544975735287071	0.13161968338994
"AGER"	NA	0.468368877420214	0.695496428051888	0.414754699603032
"AGO2"	0.203827172204993	0.394749003525877	0.298254610181545	0.945083883385171
"AGO4"	0.820064046527119	0.450842859606595	0.590193155445815	1
"AGTR1"	0.77459450105421	0.303467268324703	0.0202147824734653	0.533746889172725
"AGTR2"	0.662542788999609	0.125762608767615	0.371823274911195	0.0508022530758835
"AGXT2"	0.790901278824319	0.0499026175448052	0.880844041586379	0.258543906860706
"AHSG"	0.248734659986763	0.32085796731306	0.0779172680294117	0.78912878336539
"AIFM2"	0.781065194538554	0.0837132837107745	0.526923447694277	0.450711184000811
"AIP"	NA	0.47724305896202	0.891210202249057	0.76682987979374
"AK5"	0.879248121617453	0.367032320344859	0.614389126119261	0.807626023583145
"AKR1CL1"	NA	0.452760488740923	0.951452031492454	0.973065644728412
"AKR7A2"	NA	0.472097739119526	0.537229209302458	1
"AKT2"	0.505608419996543	0.441341564677559	0.458875790365533	0.573019182797187
"AKT3"	0.553139490041033	0.184296507940743	0.407446747387342	0.472704024672773
