gene	rna_pval	rna_log2fc	protein_pval	protein_log2fc
1	TMEM56	0.000104823088508492	-1.46040303787396	NA	NA
2	FRK	0.000122275275300697	1.48485338510351	0.147602447475036	-0.511590852137559
3	NCDN	0.000138622765552432	1.41445189626089	0.683843819926035	0.117751967308332
4	POLR1C	0.000165795518795692	-1.4315509769452	0.657778251699666	-0.123131285780055
5	HIF1AN	0.0001762951725245	1.37558940177412	0.431147845106451	0.22500923538194
6	PGAP3	0.000179127611057585	1.44296918348177	NA	NA
7	TEAD1	0.000181185713844328	1.37889761079246	0.330494123865593	-0.281334475604778
8	NFAM1	0.000194960548163157	1.50120372163991	NA	NA
9	GPRIN3	0.000197276254103236	1.49166363673169	0.816226111872166	0.0884161274278095
10	SRGAP1	0.000199197786348938	1.42335550363116	0.275408553315864	0.304750283337733
11	MRPL58	0.000200232168895563	-1.36828351579482	0.625915965100711	0.136675011327553
12	ULK1	0.00020786301436771	1.39448439312469	NA	NA
13	PDZD8	0.000224902820625164	1.33577020737172	0.296854518922012	-0.362666250527539
14	SERPINI2	0.000238500767568035	-1.45416947880121	0.287798010354681	-0.310096324498264
15	DXO	0.000238638064453424	-1.38463635191047	0.148200234220279	-0.600432612549876
16	MORF4L1	0.000240007231476037	-1.35988319250481	0.0839788431383031	-0.503272569994242
17	ITGAM	0.000271890531329953	1.4358544977196	0.164513004201177	0.388388104719717
18	HIST2H2AC	0.000312299032157743	-1.34922731900291	NA	NA
19	TRAPPC2	0.000348082513396693	-1.30798827613201	0.0240584182313073	-0.695699731729071
20	PHF20	0.000350345941517508	1.3229238610086	NA	NA
21	CHKB	0.000369699459913516	-1.29628537871922	0.0956997373148317	0.47740609171123
22	WWTR1	0.000385424285255714	1.3123282058734	0.460356543687243	0.220071257357985
23	TRIM8	0.000388769291612444	1.29034238288698	NA	NA
24	ANK1	0.000415170346072486	-1.34655819049318	0.145886732099921	0.404796516505203
25	CENPX	0.0004321106454234	-1.3149625641744	NA	NA
26	SNX17	0.000453044436071909	-1.39193214244905	0.461899692061315	0.204463699749705
27	UGT2A3	0.000453293870965339	-2.1675926929323	NA	NA
28	NDUFAF2	0.000475524727531603	-1.27578786906269	0.918709741948309	-0.02853128829652
29	HBB	0.000486384040712338	-1.27399997752111	0.778676883850512	0.0781765444194139
30	APOBR	0.000487852593564386	1.38823933824439	0.0521603660474212	0.584263848539357
31	PCDHB7	0.000501145139290148	-1.33621242875948	NA	NA
32	CCKAR	0.00050136858076951	-1.53704417240108	NA	NA
33	LSR	0.000554349750876058	1.30060885176467	0.487082973411911	0.193186942472999
34	MRPL55	0.000554816087561529	-1.26522494916149	0.226825421830647	-0.351133122926287
35	ABCB10	0.000560747903275392	-1.33730954386093	0.615146466108853	-0.1392121983475
36	FAM8A1	0.000581402910948389	-1.27286066593985	0.0651242100829986	-0.70009784644
37	SRP68	0.000600559876857064	-1.25939368982459	0.510422859132739	-0.183975894927733
38	AAK1	0.000618748854281537	1.3198097829334	0.037115554600367	0.601711088775366
39	OSCAR	0.000640349864809856	1.32602658775504	NA	NA
40	GPRC5C	0.000659391658458054	-1.23282954289779	0.157166920418759	-0.404767251137738
41	SLC22A18	0.000662612408183311	1.28971537615561	0.0859182948707494	0.566534513601224
42	PPP1R12A	0.000668930860397223	1.2521351124534	0.0226198978736168	0.643437955341726
43	TAF6L	0.00068928477338351	-1.32565483567164	0.139049365846999	-0.419607700858932
44	MATK	0.000724432283635049	1.32559627245771	NA	NA
45	LPIN3	0.00075395680455457	1.26567258225989	0.431864261401026	0.343665771819581
46	ADGRE2	0.000776007962368343	1.32649027046732	NA	NA
47	B4GALT5	0.000804683625288781	1.22784618336513	NA	NA
48	NET1	0.000828708598397421	1.24989911847524	NA	NA
49	HSD17B10	0.000840366043174022	-1.26242441070201	0.402222164593021	-0.232271077590657
